target_set;shape_id;readable_shape;step;classification
4;30;01111111-11111111-11111111;0;1,1,1-2,1,37-3,1,37-4,1,37-5,1,37-6,1,37-7,1,2-0,2,1-1,2,29-2,2,29-3,2,29-4,2,29-5,2,29-6,2,29-7,2,28-0,3,24-1,3,6-2,3,6-3,3,6-4,3,6-5,3,6-6,3,6-7,3,27
4;30;01111111-11111111-11111111;10;1,1,29-2,1,29-3,1,29-4,1,29-5,1,29-6,1,29-7,1,30-0,2,33-1,2,29-2,2,29-3,2,29-4,2,29-5,2,29-6,2,29-7,2,30-0,3,31-1,3,31-2,3,29-3,3,29-4,3,29-5,3,33-6,3,33-7,3,33
4;30;01111111-11111111-11111111;20;1,1,29-2,1,29-3,1,29-4,1,29-5,1,29-6,1,29-7,1,29-0,2,33-1,2,29-2,2,29-3,2,29-4,2,29-5,2,29-6,2,29-7,2,29-0,3,33-1,3,33-2,3,28-3,3,28-4,3,28-5,3,33-6,3,30-7,3,30
4;30;01111111-11111111-11111111;30;1,1,29-2,1,29-3,1,29-4,1,29-5,1,29-6,1,29-7,1,29-0,2,33-1,2,29-2,2,29-3,2,29-4,2,29-5,2,29-6,2,29-7,2,29-0,3,28-1,3,28-2,3,28-3,3,28-4,3,28-5,3,28-6,3,28-7,3,28
4;30;01111111-11111111-11111111;40;1,1,29-2,1,29-3,1,29-4,1,9-5,1,29-6,1,29-7,1,29-0,2,33-1,2,25-2,2,29-3,2,9-4,2,9-5,2,29-6,2,29-7,2,29-0,3,28-1,3,28-2,3,28-3,3,9-4,3,9-5,3,9-6,3,28-7,3,28
4;30;01111111-11111111-11111111;50;1,1,9-2,1,9-3,1,9-4,1,9-5,1,9-6,1,29-7,1,29-0,2,26-1,2,26-2,2,9-3,2,9-4,2,9-5,2,9-6,2,29-7,2,30-0,3,28-1,3,28-2,3,9-3,3,9-4,3,9-5,3,9-6,3,28-7,3,28
4;31;11111110-11111111-11111111;0;0,1,1-1,1,37-2,1,37-3,1,37-4,1,37-5,1,37-6,1,2-0,2,27-1,2,29-2,2,29-3,2,29-4,2,29-5,2,29-6,2,29-7,2,2-0,3,24-1,3,6-2,3,6-3,3,6-4,3,6-5,3,6-6,3,6-7,3,27
4;31;11111110-11111111-11111111;10;0,1,31-1,1,29-2,1,29-3,1,29-4,1,31-5,1,33-6,1,33-0,2,29-1,2,29-2,2,29-3,2,29-4,2,33-5,2,33-6,2,33-7,2,33-0,3,31-1,3,33-2,3,29-3,3,29-4,3,33-5,3,33-6,3,33-7,3,33
4;31;11111110-11111111-11111111;20;0,1,33-1,1,29-2,1,29-3,1,29-4,1,33-5,1,33-6,1,33-0,2,33-1,2,29-2,2,29-3,2,29-4,2,33-5,2,33-6,2,33-7,2,33-0,3,33-1,3,33-2,3,33-3,3,33-4,3,33-5,3,33-6,3,33-7,3,33
4;31;11111110-11111111-11111111;30;0,1,33-1,1,29-2,1,29-3,1,9-4,1,33-5,1,33-6,1,33-0,2,33-1,2,29-2,2,9-3,2,9-4,2,9-5,2,33-6,2,33-7,2,33-0,3,33-1,3,33-2,3,9-3,3,9-4,3,9-5,3,33-6,3,26-7,3,26
4;31;11111110-11111111-11111111;40;0,1,33-1,1,29-2,1,29-3,1,9-4,1,9-5,1,26-6,1,26-0,2,33-1,2,9-2,2,9-3,2,9-4,2,9-5,2,26-6,2,26-7,2,26-0,3,9-1,3,9-2,3,9-3,3,9-4,3,9-5,3,26-6,3,26-7,3,26
4;31;11111110-11111111-11111111;50;0,1,9-1,1,29-2,1,7-3,1,7-4,1,26-5,1,26-6,1,26-0,2,9-1,2,9-2,2,9-3,2,9-4,2,26-5,2,26-6,2,26-7,2,26-0,3,9-1,3,9-2,3,9-3,3,9-4,3,26-5,3,26-6,3,26-7,3,26
4;32;11111111-11111111-01111111;0;0,1,1-1,1,37-2,1,37-3,1,37-4,1,37-5,1,37-6,1,37-7,1,2-0,2,24-1,2,29-2,2,29-3,2,29-4,2,29-5,2,29-6,2,29-7,2,28-1,3,24-2,3,6-3,3,6-4,3,6-5,3,6-6,3,6-7,3,27
4;32;11111111-11111111-01111111;10;0,1,29-1,1,29-2,1,29-3,1,29-4,1,29-5,1,29-6,1,29-7,1,30-0,2,32-1,2,29-2,2,29-3,2,29-4,2,29-5,2,29-6,2,29-7,2,30-1,3,38-2,3,31-3,3,29-4,3,32-5,3,33-6,3,33-7,3,33
4;32;11111111-11111111-01111111;20;0,1,33-1,1,29-2,1,29-3,1,29-4,1,29-5,1,29-6,1,29-7,1,29-0,2,33-1,2,33-2,2,29-3,2,29-4,2,29-5,2,29-6,2,29-7,2,29-1,3,28-2,3,28-3,3,28-4,3,28-5,3,33-6,3,30-7,3,30
4;32;11111111-11111111-01111111;30;0,1,33-1,1,29-2,1,29-3,1,29-4,1,29-5,1,29-6,1,29-7,1,29-0,2,28-1,2,28-2,2,25-3,2,29-4,2,29-5,2,29-6,2,29-7,2,29-1,3,28-2,3,28-3,3,28-4,3,28-5,3,28-6,3,28-7,3,28
4;32;11111111-11111111-01111111;40;0,1,26-1,1,26-2,1,29-3,1,9-4,1,9-5,1,29-6,1,29-7,1,29-0,2,28-1,2,28-2,2,25-3,2,9-4,2,9-5,2,29-6,2,29-7,2,29-1,3,28-2,3,28-3,3,28-4,3,9-5,3,28-6,3,28-7,3,28
4;32;11111111-11111111-01111111;50;0,1,9-1,1,26-2,1,9-3,1,9-4,1,9-5,1,9-6,1,29-7,1,29-0,2,28-1,2,28-2,2,9-3,2,9-4,2,9-5,2,9-6,2,29-7,2,30-1,3,28-2,3,28-3,3,9-4,3,9-5,3,9-6,3,28-7,3,28
4;33;11111111-11111111-11111110;0;0,1,1-1,1,37-2,1,37-3,1,37-4,1,37-5,1,37-6,1,37-7,1,2-0,2,27-1,2,29-2,2,29-3,2,29-4,2,29-5,2,29-6,2,29-7,2,27-0,3,24-1,3,6-2,3,6-3,3,6-4,3,6-5,3,6-6,3,27
4;33;11111111-11111111-11111110;10;0,1,31-1,1,29-2,1,29-3,1,33-4,1,33-5,1,33-6,1,33-7,1,33-0,2,29-1,2,29-2,2,29-3,2,33-4,2,33-5,2,33-6,2,33-7,2,33-0,3,31-1,3,31-2,3,29-3,3,33-4,3,33-5,3,33-6,3,33
4;33;11111111-11111111-11111110;20;0,1,33-1,1,29-2,1,33-3,1,33-4,1,33-5,1,33-6,1,33-7,1,33-0,2,33-1,2,29-2,2,29-3,2,9-4,2,33-5,2,33-6,2,33-7,2,33-0,3,33-1,3,33-2,3,33-3,3,33-4,3,33-5,3,33-6,3,33
4;33;11111111-11111111-11111110;30;0,1,33-1,1,9-2,1,9-3,1,9-4,1,33-5,1,26-6,1,26-7,1,33-0,2,33-1,2,9-2,2,9-3,2,9-4,2,26-5,2,26-6,2,26-7,2,26-0,3,9-1,3,9-2,3,9-3,3,9-4,3,26-5,3,26-6,3,26
4;33;11111111-11111111-11111110;40;0,1,9-1,1,9-2,1,9-3,1,26-4,1,26-5,1,26-6,1,26-7,1,28-0,2,9-1,2,9-2,2,9-3,2,26-4,2,26-5,2,26-6,2,26-7,2,26-0,3,9-1,3,9-2,3,9-3,3,26-4,3,26-5,3,26-6,3,26
4;33;11111111-11111111-11111110;50;0,1,9-1,1,9-2,1,7-3,1,26-4,1,26-5,1,26-6,1,28-7,1,28-0,2,9-1,2,9-2,2,26-3,2,26-4,2,26-5,2,26-6,2,26-7,2,26-0,3,9-1,3,9-2,3,9-3,3,26-4,3,26-5,3,26-6,3,26
4;34;111111111-111111111-101010101;0;0,1,1-1,1,37-2,1,37-3,1,37-4,1,37-5,1,37-6,1,37-7,1,37-8,1,2-0,2,27-1,2,6-2,2,29-3,2,6-4,2,29-5,2,6-6,2,29-7,2,6-8,2,28-0,3,34-2,3,34-4,3,34-6,3,34-8,3,34
4;34;111111111-111111111-101010101;10;0,1,34-1,1,34-2,1,34-3,1,34-4,1,34-5,1,34-6,1,34-7,1,34-8,1,34-0,2,34-1,2,34-2,2,34-3,2,34-4,2,34-5,2,34-6,2,34-7,2,34-8,2,34-0,3,34-2,3,34-4,3,34-6,3,34-8,3,34
4;34;111111111-111111111-101010101;20;0,1,34-1,1,34-2,1,34-3,1,34-4,1,34-5,1,34-6,1,34-7,1,34-8,1,34-0,2,34-1,2,34-2,2,34-3,2,34-4,2,34-5,2,34-6,2,34-7,2,34-8,2,34-0,3,34-2,3,34-4,3,34-6,3,34-8,3,34
4;34;111111111-111111111-101010101;30;0,1,34-1,1,34-2,1,34-3,1,34-4,1,34-5,1,34-6,1,34-7,1,35-8,1,34-0,2,34-1,2,34-2,2,34-3,2,34-4,2,34-5,2,34-6,2,34-7,2,35-8,2,34-0,3,34-2,3,34-4,3,34-6,3,34-8,3,34
4;34;111111111-111111111-101010101;40;0,1,35-1,1,35-2,1,34-3,1,35-4,1,35-5,1,35-6,1,35-7,1,9-8,1,34-0,2,35-1,2,35-2,2,34-3,2,35-4,2,35-5,2,35-6,2,37-7,2,35-8,2,35-0,3,34-2,3,34-4,3,36-6,3,36-8,3,36
4;34;111111111-111111111-101010101;50;0,1,35-1,1,35-2,1,35-3,1,35-4,1,35-5,1,35-6,1,34-7,1,9-8,1,35-0,2,28-1,2,35-2,2,28-3,2,35-4,2,28-5,2,35-6,2,28-7,2,9-8,2,9-0,3,28-2,3,28-4,3,28-6,3,28-8,3,36
4;35;111111111-111111111-001010101;0;0,1,1-1,1,37-2,1,37-3,1,37-4,1,37-5,1,37-6,1,37-7,1,37-8,1,2-0,2,24-1,2,6-2,2,29-3,2,6-4,2,29-5,2,6-6,2,29-7,2,6-8,2,28-2,3,34-4,3,34-6,3,34-8,3,34
4;35;111111111-111111111-001010101;10;0,1,34-1,1,34-2,1,34-3,1,34-4,1,34-5,1,34-6,1,34-7,1,34-8,1,34-0,2,35-1,2,35-2,2,34-3,2,34-4,2,34-5,2,34-6,2,34-7,2,34-8,2,34-2,3,34-4,3,34-6,3,34-8,3,34
4;35;111111111-111111111-001010101;20;0,1,35-1,1,34-2,1,34-3,1,34-4,1,34-5,1,34-6,1,34-7,1,34-8,1,34-0,2,35-1,2,35-2,2,34-3,2,34-4,2,34-5,2,34-6,2,34-7,2,34-8,2,34-2,3,34-4,3,34-6,3,34-8,3,34
4;35;111111111-111111111-001010101;30;0,1,35-1,1,34-2,1,34-3,1,35-4,1,34-5,1,35-6,1,34-7,1,35-8,1,34-0,2,35-1,2,35-2,2,34-3,2,34-4,2,34-5,2,34-6,2,34-7,2,35-8,2,34-2,3,34-4,3,34-6,3,34-8,3,34
4;35;111111111-111111111-001010101;40;0,1,35-1,1,9-2,1,35-3,1,35-4,1,35-5,1,35-6,1,35-7,1,9-8,1,34-0,2,36-1,2,35-2,2,35-3,2,35-4,2,37-5,2,35-6,2,35-7,2,35-8,2,35-2,3,36-4,3,36-6,3,36-8,3,36
4;35;111111111-111111111-001010101;50;0,1,35-1,1,9-2,1,35-3,1,9-4,1,35-5,1,9-6,1,35-7,1,9-8,1,34-0,2,35-1,2,9-2,2,28-3,2,35-4,2,28-5,2,35-6,2,28-7,2,9-8,2,9-2,3,28-4,3,28-6,3,28-8,3,36
4;36;111111111-111111111-100010101;0;0,1,1-1,1,37-2,1,37-3,1,37-4,1,37-5,1,37-6,1,37-7,1,37-8,1,2-0,2,27-1,2,6-2,2,6-3,2,6-4,2,29-5,2,6-6,2,29-7,2,6-8,2,28-0,3,34-4,3,34-6,3,34-8,3,34
4;36;111111111-111111111-100010101;10;0,1,37-1,1,37-2,1,37-3,1,37-4,1,37-5,1,36-6,1,36-7,1,34-8,1,36-0,2,37-1,2,37-2,2,36-3,2,36-4,2,36-5,2,37-6,2,36-7,2,36-8,2,36-0,3,37-4,3,37-6,3,34-8,3,34
4;36;111111111-111111111-100010101;20;0,1,28-1,1,28-2,1,28-3,1,28-4,1,28-5,1,28-6,1,35-7,1,35-8,1,34-0,2,28-1,2,28-2,2,28-3,2,28-4,2,28-5,2,28-6,2,36-7,2,36-8,2,36-0,3,36-4,3,36-6,3,36-8,3,36
4;36;111111111-111111111-100010101;30;0,1,28-1,1,28-2,1,28-3,1,28-4,1,28-5,1,28-6,1,28-7,1,28-8,1,28-0,2,28-1,2,28-2,2,28-3,2,28-4,2,28-5,2,28-6,2,28-7,2,28-8,2,28-0,3,28-4,3,28-6,3,28-8,3,36
4;36;111111111-111111111-100010101;40;0,1,28-1,1,28-2,1,28-3,1,28-4,1,28-5,1,28-6,1,28-7,1,28-8,1,28-0,2,28-1,2,28-2,2,28-3,2,28-4,2,28-5,2,28-6,2,28-7,2,28-8,2,28-0,3,28-4,3,28-6,3,28-8,3,28
4;36;111111111-111111111-100010101;50;0,1,28-1,1,28-2,1,28-3,1,28-4,1,28-5,1,28-6,1,28-7,1,28-8,1,28-0,2,28-1,2,28-2,2,28-3,2,28-4,2,28-5,2,28-6,2,28-7,2,28-8,2,28-0,3,28-4,3,28-6,3,28-8,3,28
4;37;111111111-111111111-101000101;0;0,1,1-1,1,37-2,1,37-3,1,37-4,1,37-5,1,37-6,1,37-7,1,37-8,1,2-0,2,27-1,2,6-2,2,29-3,2,6-4,2,6-5,2,6-6,2,29-7,2,6-8,2,28-0,3,34-2,3,34-6,3,34-8,3,34
4;37;111111111-111111111-101000101;10;0,1,38-1,1,38-2,1,38-3,1,37-4,1,37-5,1,37-6,1,37-7,1,37-8,1,37-0,2,38-1,2,38-2,2,38-3,2,36-4,2,36-5,2,37-6,2,37-7,2,37-8,2,37-0,3,38-2,3,38-6,3,37-8,3,37
4;37;111111111-111111111-101000101;20;0,1,38-1,1,38-2,1,28-3,1,28-4,1,28-5,1,28-6,1,28-7,1,28-8,1,28-0,2,38-1,2,38-2,2,11-3,2,36-4,2,28-5,2,28-6,2,28-7,2,28-8,2,28-0,3,38-2,3,38-6,3,28-8,3,36
4;37;111111111-111111111-101000101;30;0,1,28-1,1,28-2,1,28-3,1,28-4,1,28-5,1,28-6,1,28-7,1,28-8,1,28-0,2,28-1,2,28-2,2,28-3,2,28-4,2,28-5,2,28-6,2,28-7,2,28-8,2,28-0,3,38-2,3,28-6,3,28-8,3,28
4;37;111111111-111111111-101000101;40;0,1,28-1,1,28-2,1,28-3,1,28-4,1,28-5,1,28-6,1,28-7,1,28-8,1,28-0,2,28-1,2,28-2,2,28-3,2,28-4,2,28-5,2,28-6,2,28-7,2,28-8,2,28-0,3,38-2,3,28-6,3,28-8,3,28
4;37;111111111-111111111-101000101;50;0,1,28-1,1,28-2,1,28-3,1,28-4,1,28-5,1,28-6,1,28-7,1,28-8,1,28-0,2,28-1,2,28-2,2,28-3,2,28-4,2,28-5,2,28-6,2,28-7,2,28-8,2,28-0,3,38-2,3,28-6,3,28-8,3,28
4;38;111111111-111111111-101010100;0;0,1,1-1,1,37-2,1,37-3,1,37-4,1,37-5,1,37-6,1,37-7,1,37-8,1,2-0,2,27-1,2,6-2,2,29-3,2,6-4,2,29-5,2,6-6,2,29-7,2,6-8,2,27-0,3,34-2,3,34-4,3,34-6,3,34
4;38;111111111-111111111-101010100;10;0,1,38-1,1,38-2,1,38-3,1,38-4,1,38-5,1,38-6,1,38-7,1,38-8,1,38-0,2,38-1,2,38-2,2,38-3,2,38-4,2,38-5,2,38-6,2,38-7,2,38-8,2,38-0,3,38-2,3,38-4,3,38-6,3,38
4;38;111111111-111111111-101010100;20;0,1,9-1,1,28-2,1,38-3,1,38-4,1,38-5,1,38-6,1,38-7,1,38-8,1,38-0,2,38-1,2,38-2,2,38-3,2,38-4,2,38-5,2,38-6,2,38-7,2,38-8,2,38-0,3,38-2,3,38-4,3,38-6,3,38
4;38;111111111-111111111-101010100;30;0,1,28-1,1,28-2,1,28-3,1,38-4,1,38-5,1,38-6,1,38-7,1,38-8,1,38-0,2,38-1,2,38-2,2,38-3,2,38-4,2,38-5,2,38-6,2,38-7,2,38-8,2,38-0,3,38-2,3,38-4,3,38-6,3,38
4;38;111111111-111111111-101010100;40;0,1,28-1,1,28-2,1,28-3,1,1-4,1,38-5,1,38-6,1,38-7,1,38-8,1,38-0,2,38-1,2,38-2,2,38-3,2,38-4,2,38-5,2,38-6,2,38-7,2,38-8,2,38-0,3,38-2,3,38-4,3,38-6,3,38
4;38;111111111-111111111-101010100;50;0,1,9-1,1,28-2,1,28-3,1,1-4,1,7-5,1,9-6,1,38-7,1,38-8,1,38-0,2,38-1,2,38-2,2,38-3,2,38-4,2,38-5,2,12-6,2,9-7,2,38-8,2,38-0,3,38-2,3,38-4,3,38-6,3,38
